0.000,0.230,0.034,0.987
0.002,0.229,0.034,0.986
0.004,0.229,0.034,0.986
0.006,0.229,0.034,0.986
0.008,0.229,0.034,0.986
0.010,0.229,0.034,0.986
0.012,0.227,0.032,0.985
0.014,0.227,0.032,0.985
0.016,0.227,0.032,0.985
0.018,0.227,0.032,0.985
0.020,0.227,0.032,0.985
0.022,0.227,0.033,0.984
0.024,0.227,0.033,0.984
0.026,0.227,0.033,0.984
0.028,0.227,0.033,0.984
0.030,0.227,0.033,0.984
0.032,0.230,0.035,0.981
0.034,0.230,0.035,0.981
0.036,0.230,0.035,0.981
0.038,0.230,0.035,0.981
0.040,0.230,0.035,0.981
0.042,0.233,0.037,0.983
0.044,0.233,0.037,0.983
0.046,0.233,0.037,0.983
0.048,0.233,0.037,0.983
0.050,0.233,0.037,0.983
0.052,0.232,0.037,0.985
0.054,0.232,0.037,0.985
0.056,0.232,0.037,0.985
0.058,0.232,0.037,0.985
0.060,0.230,0.038,0.985
0.062,0.230,0.038,0.985
0.064,0.230,0.038,0.985
0.066,0.230,0.038,0.985
0.068,0.230,0.038,0.985
0.070,0.230,0.038,0.985
0.072,0.230,0.038,0.985
0.074,0.230,0.038,0.985
0.076,0.230,0.038,0.985
0.078,0.230,0.038,0.985
0.080,0.231,0.033,0.985
0.082,0.231,0.033,0.985
0.084,0.231,0.033,0.985
0.086,0.231,0.033,0.985
0.088,0.231,0.033,0.985
0.090,0.234,0.031,0.986
0.092,0.234,0.031,0.986
0.094,0.234,0.031,0.986
0.096,0.234,0.031,0.986
0.098,0.234,0.031,0.986
0.100,0.235,0.033,0.986
0.102,0.235,0.033,0.986
0.104,0.235,0.033,0.986
0.106,0.235,0.033,0.986
0.108,0.235,0.033,0.986
0.110,0.233,0.034,0.985
0.112,0.233,0.034,0.985
0.114,0.233,0.034,0.985
0.116,0.233,0.034,0.985
0.118,0.233,0.034,0.985
0.120,0.231,0.035,0.985
0.122,0.231,0.035,0.985
0.124,0.231,0.035,0.985
0.126,0.231,0.035,0.985
0.128,0.231,0.035,0.985
0.130,0.231,0.036,0.986
0.132,0.231,0.036,0.986
0.134,0.231,0.036,0.986
0.136,0.231,0.036,0.986
0.138,0.231,0.036,0.986
